rok,przychod_mln,zysk_mln,liczba_zatrudnionych,liczba_uzytkonikow_mln
2007,153,-138,450,
2008,272,-56,850,
2009,777,229,1218,360
2010,1974,606,2127,608
2011,3711,1000,3200,845
2012,5089,53,4619,1056
2013,7872,1500,6337,1228
2014,12466,2940,9199,1393
2015,17928,3688,12691,1591
2016,27638,10217,17048,1860
2017,40653,15934,25105,2129
2018,55838,22112,35587,2320
2019,70697,18485,44942,2498
2020,85965,29146,58604,2797
2021,117929,39370,71970,2912
2022,116609,23200,86482,2963
2023,134902,39098,67317,3065
